"raws","Date","FirstWinner","FirstWinnerLast2Digits","FirstWinnerLast3Digits","2DigitsWinner","3DigitsWinner(1A)","3DigitsWinner(2A)","3DigitsWinner(1B)","3DigitsWinner(2B)"
"02/05/25533603717137106382040517618","02/05/2553","360371","71","371","06","382","040","517","618"
"16/04/25532117434374396811744154285","16/04/2553","211743","43","743","96","811","744","154","285"
"01/04/25539595171751722174663447040","01/04/2553","959517","17","517","22","174","663","447","040"
"16/03/25533642222222297619996229756","16/03/2553","364222","22","222","97","619","996","229","756"
"01/03/25532152272722797457627374470","01/03/2553","215227","27","227","97","457","627","374","470"
"16/02/25531337070770703137026362985","16/02/2553","133707","07","707","03","137","026","362","985"
"01/02/25531863121231214936577694403","01/02/2553","186312","12","312","14","936","577","694","403"
"16/01/25530735777757767413459781646","16/01/2553","073577","77","577","67","413","459","781","646"
"30/12/25529943040430487993337419598","30/12/2552","994304","04","304","87","993","337","419","598"
"16/12/25526851414114105694775524142","16/12/2552","685141","41","141","05","694","775","524","142"
"01/12/25527769808098059937188412252","01/12/2552","776980","80","980","59","937","188","412","252"
"16/11/25520559868698658299952072536","16/11/2552","055986","86","986","58","299","952","072","536"
"01/11/25526891404014085366923642465","01/11/2552","689140","40","140","85","366","923","642","465"
"16/10/25522584878748700174135226122","16/10/2552","258487","87","487","00","174","135","226","122"
"01/10/25521693878738706249435714255","01/10/2552","169387","87","387","06","249","435","714","255"
"16/09/25522029121291248200353539166","16/09/2552","202912","12","912","48","200","353","539","166"
"01/09/25520158656586532435447446924","01/09/2552","015865","65","865","32","435","447","446","924"
"16/08/25524629333393396843292577658","16/08/2552","462933","33","933","96","843","292","577","658"
"01/08/25521549868698692688239421374","01/08/2552","154986","86","986","92","688","239","421","374"
"16/07/25520008161681694005177356836","16/07/2552","000816","16","816","94","005","177","356","836"
"01/07/25522075424254266233107799385","01/07/2552","207542","42","542","66","233","107","799","385"
"16/06/25529304565645615125044954179","16/06/2552","930456","56","456","15","125","044","954","179"
"01/06/25527776616166126242097240642","01/06/2552","777661","61","661","26","242","097","240","642"
"16/05/25521114111141154368838362892","16/05/2552","111411","11","411","54","368","838","362","892"
"02/05/25522944525245211222549947301","02/05/2552","294452","52","452","11","222","549","947","301"
"16/04/25523684151541533954179007570","16/04/2552","368415","15","415","33","954","179","007","570"
"01/04/25528165787857850572363113044","01/04/2552","816578","78","578","50","572","363","113","044"
"16/03/25522688121281236228929424063","16/03/2552","268812","12","812","36","228","929","424","063"
"01/03/25525530919109167224238665295","01/03/2552","553091","91","091","67","224","238","665","295"
"16/02/25520387303073093961939115434","16/02/2552","038730","30","730","93","961","939","115","434"
"01/02/25525345333353369660777015427","01/02/2552","534533","33","533","69","660","777","015","427"
"16/01/25527432121221225266800842885","16/01/2552","743212","12","212","25","266","800","842","885"
"30/12/25512185969659622094197831984","30/12/2551","218596","96","596","22","094","197","831","984"
"16/12/25510741141411425305715803959","16/12/2551","074114","14","114","25","305","715","803","959"
"01/12/25512054343443405013260617957","01/12/2551","205434","34","434","05","013","260","617","957"
"16/11/25510026121261220068589824877","16/11/2551","002612","12","612","20","068","589","824","877"
"01/11/25512720282802876285333421929","01/11/2551","272028","28","028","76","285","333","421","929"
"16/10/25514312777727798324526644648","16/10/2551","431277","77","277","98","324","526","644","648"
"01/10/25518829111191167204302311395","01/10/2551","882911","11","911","67","204","302","311","395"
"16/09/25510123777737756378534557691","16/09/2551","012377","77","377","56","378","534","557","691"
"01/09/25516959939399309027206413904","01/09/2551","695993","93","993","09","027","206","413","904"
"16/08/25513803777737736161445457744","16/08/2551","380377","77","377","36","161","445","457","744"
"01/08/25518503484834811236386408913","01/08/2551","850348","48","348","11","236","386","408","913"
"16/07/25512573747437441344401486576","16/07/2551","257374","74","374","41","344","401","486","576"
"01/07/25519436717167150096287490523","01/07/2551","943671","71","671","50","096","287","490","523"
"16/06/25517291111111175339345639870","16/06/2551","729111","11","111","75","339","345","639","870"
"01/06/25514148757587535370666747916","01/06/2551","414875","75","875","35","370","666","747","916"
"16/05/25513292313123169193120355214","16/05/2551","329231","31","231","69","193","120","355","214"
"02/05/25514530111101162001133001792","02/05/2551","453011","11","011","62","001","133","001","792"
"16/04/25519828000080064802584043008","16/04/2551","982800","00","800","64","802","584","043","008"
"01/04/25510126535365371124195200586","01/04/2551","012653","53","653","71","124","195","200","586"
"16/03/25510749464694633077974085158","16/03/2551","074946","46","946","33","077","974","085","158"
"01/03/25519366858568505056085371691","01/03/2551","936685","85","685","05","056","085","371","691"
"16/02/25511370545405480344512630892","16/02/2551","137054","54","054","80","344","512","630","892"
"01/02/25512126848468426311472732796","01/02/2551","212684","84","684","26","311","472","732","796"
"16/01/25515560101001081413548942965","16/01/2551","556010","10","010","81","413","548","942","965"
"30/12/25505954111141181267490741787","30/12/2550","595411","11","411","81","267","490","741","787"
"16/12/25505135010150196425432460702","16/12/2550","513501","01","501","96","425","432","460","702"
"01/12/25501134101041018418485627659","01/12/2550","113410","10","410","18","418","485","627","659"
"16/11/25505624818148173130198752844","16/11/2550","562481","81","481","73","130","198","752","844"
"01/11/25509279070790788213277524648","01/11/2550","927907","07","907","88","213","277","524","648"
"16/10/25500329888898848158663685846","16/10/2550","032988","88","988","48","158","663","685","846"
"01/10/25504306676766776090104126667","01/10/2550","430667","67","667","76","090","104","126","667"
"16/09/25504993363633645247273604608","16/09/2550","499336","36","336","45","247","273","604","608"
"01/09/25503318101081069293505518520","01/09/2550","331810","10","810","69","293","505","518","520"
"16/08/25504762070720793234236312424","16/08/2550","476207","07","207","93","234","236","312","424"
"01/08/25504299242492429006048885962","01/08/2550","429924","24","924","29","006","048","885","962"
"16/07/25505273848438477105183334947","16/07/2550","527384","84","384","77","105","183","334","947"
"01/07/25505651515115176146287638949","01/07/2550","565151","51","151","76","146","287","638","949"
"16/06/25503931949419441989907424589","16/06/2550","393194","94","194","41","989","907","424","589"
"01/06/25508363939339305739242523433","01/06/2550","836393","93","393","05","739","242","523","433"
"16/05/25502328979789725924858751585","16/05/2550","232897","97","897","25","924","858","751","585"
"02/05/25504303747437481553442881729","02/05/2550","430374","74","374","81","553","442","881","729"
"16/04/25504051050510563013987866522","16/04/2550","405105","05","105","63","013","987","866","522"
"01/04/25506227808078093677794814022","01/04/2550","622780","80","780","93","677","794","814","022"
"16/03/25508767636376385191001906350","16/03/2550","876763","63","763","85","191","001","906","350"
"01/03/25507424252542561949294942801","01/03/2550","742425","25","425","61","949","294","942","801"
"16/02/25502778595985995625607979384","16/02/2550","277859","59","859","95","625","607","979","384"
"01/02/25507699252592556893239287865","01/02/2550","769925","25","925","56","893","239","287","865"
"16/01/25508387393973955293263845803","16/01/2550","838739","39","739","55","293","263","845","803"
"30/12/25497785848458407811403164971","30/12/2549","778584","84","584","07","811","403","164","971"
"16/12/25491479777797745439694647197","16/12/2549","147977","77","977","45","439","694","647","197"
"01/12/25492700525205212621462091236","01/12/2549","270052","52","052","12","621","462","091","236"
"16/11/25495628565685694508307680347","16/11/2549","562856","56","856","94","508","307","680","347"
"01/11/25499109575795729647739137905","01/11/2549","910957","57","957","29","647","739","137","905"
"16/10/25492648252582558903092358832","16/10/2549","264825","25","825","58","903","092","358","832"
"01/10/25499523353533592007804879951","01/10/2549","952335","35","335","92","007","804","879","951"
"16/09/25492179484894841916290864121","16/09/2549","217948","48","948","41","916","290","864","121"
"01/09/25493817616176144600693093626","01/09/2549","381761","61","761","44","600","693","093","626"
"16/08/25499774868648691221305230103","16/08/2549","977486","86","486","91","221","305","230","103"
"01/08/25492386545465488847005817487","01/08/2549","238654","54","654","88","847","005","817","487"
"16/07/25495124343443448989098518432","16/07/2549","512434","34","434","48","989","098","518","432"
"01/07/25499528909089065126183017839","01/07/2549","952890","90","890","65","126","183","017","839"
"16/06/25491009353593517381410595250","16/06/2549","100935","35","935","17","381","410","595","250"
"01/06/25498108505085099526149382664","01/06/2549","810850","50","850","99","526","149","382","664"
"16/05/25491003444434471386463811696","16/05/2549","100344","44","344","71","386","463","811","696"
"02/05/25490245545455427006438082117","02/05/2549","024554","54","554","27","006","438","082","117"
"16/04/25490385646456449210442769877","16/04/2549","038564","64","564","49","210","442","769","877"
"01/04/25497383656536595064955301522","01/04/2549","738365","65","365","95","064","955","301","522"
"16/03/25499361777717730486185205320","16/03/2549","936177","77","177","30","486","185","205","320"
"01/03/25495824737347343586801108914","01/03/2549","582473","73","473","43","586","801","108","914"
"16/02/25493170090900966784240135280","16/02/2549","317009","09","009","66","784","240","135","280"
"01/02/25494127292972987915720149384","01/02/2549","412729","29","729","87","915","720","149","384"
"16/01/25494327474774779222789965200","16/01/2549","432747","47","747","79","222","789","965","200"
"30/12/25484929555595594066308742150","30/12/2548","492955","55","955","94","066","308","742","150"
"16/12/25484495656556586802162958994","16/12/2548","449565","65","565","86","802","162","958","994"
"01/12/25483885515155117072764027770","01/12/2548","388551","51","551","17","072","764","027","770"
"16/11/25487425181851880502741887137","16/11/2548","742518","18","518","80","502","741","887","137"
"01/11/25489705777757798171375009216","01/11/2548","970577","77","577","98","171","375","009","216"
"16/10/25480410727207271346913410269","16/10/2548","041072","72","072","71","346","913","410","269"
"01/10/25487664828248224766551792275","01/10/2548","766482","82","482","24","766","551","792","275"
"16/09/25482147686876810498282124057","16/09/2548","214768","68","768","10","498","282","124","057"
"01/09/25483169333393317123338969047","01/09/2548","316933","33","933","17","123","338","969","047"
"16/08/25484755606056068272844103915","16/08/2548","475560","60","560","68","272","844","103","915"
"01/08/25489616333363326055152386272","01/08/2548","961633","33","633","26","055","152","386","272"
"16/07/25484774525245213757150460642","16/07/2548","477452","52","452","13","757","150","460","642"
"01/07/25480095545455487798427641244","01/07/2548","009554","54","554","87","798","427","641","244"
"16/06/25487930707007044806021074605","16/06/2548","793070","70","070","44","806","021","074","605"
"01/06/25481768939389335176579616405","01/06/2548","176893","93","893","35","176","579","616","405"
"16/05/25488671343413497376648465693","16/05/2548","867134","34","134","97","376","648","465","693"
"02/05/25487724676746743017383815073","02/05/2548","772467","67","467","43","017","383","815","073"
"16/04/25481193272732710081968346627","16/04/2548","119327","27","327","10","081","968","346","627"
"01/04/25488157535375369482381224807","01/04/2548","815753","53","753","69","482","381","224","807"
"16/03/25481963454534503073601783394","16/03/2548","196345","45","345","03","073","601","783","394"
"01/03/25488007515175193681714998669","01/03/2548","800751","51","751","93","681","714","998","669"
"16/02/25488164222242253086356192065","16/02/2548","816422","22","422","53","086","356","192","065"
"01/02/25485400545405434389180863571","01/02/2548","540054","54","054","34","389","180","863","571"
"16/01/25483350222202208689291039479","16/01/2548","335022","22","022","08","689","291","039","479"
"30/12/25471688585885828221603627179","30/12/2547","168858","58","858","28","221","603","627","179"
"16/12/25474793727237217288075999183","16/12/2547","479372","72","372","17","288","075","999","183"
"01/12/25475046585865869139014984691","01/12/2547","504658","58","658","69","139","014","984","691"
"16/11/25477546222262264918019744904","16/11/2547","754622","22","622","64","918","019","744","904"
"01/11/25471859666696623862137745661","01/11/2547","185966","66","966","23","862","137","745","661"
"16/10/25473558585885862162200438890","16/10/2547","355858","58","858","62","162","200","438","890"
"01/10/25471108666686666200547781806","01/10/2547","110866","66","866","66","200","547","781","806"
"16/09/25479233737337359295888774867","16/09/2547","923373","73","373","59","295","888","774","867"
"01/09/25470965979759770709929014456","01/09/2547","096597","97","597","70","709","929","014","456"
"16/08/25473359212192159114082559288","16/08/2547","335921","21","921","59","114","082","559","288"
"02/08/25478689909099045956811510377","02/08/2547","868990","90","990","45","956","811","510","377"
"16/07/25472055888858825696726461154","16/07/2547","205588","88","588","25","696","726","461","154"
"01/07/25473124717147166313598664261","01/07/2547","312471","71","471","66","313","598","664","261"
"16/06/25472087131371387414911459986","16/06/2547","208713","13","713","87","414","911","459","986"
"01/06/25476141444414472990776425992","01/06/2547","614144","44","144","72","990","776","425","992"
"16/05/25475892070720713492992526253","16/05/2547","589207","07","207","13","492","992","526","253"
"02/05/25476534030340391385550822101","02/05/2547","653403","03","403","91","385","550","822","101"
"16/04/25477058323283212008966634721","16/04/2547","705832","32","832","12","008","966","634","721"
"01/04/25471963919139162808918257851","01/04/2547","196391","91","391","62","808","918","257","851"
"16/03/25476153666636669779094478830","16/03/2547","615366","66","366","69","779","094","478","830"
"01/03/25476974838348350610510759206","01/03/2547","697483","83","483","50","610","510","759","206"
"16/02/25476980020200200877309798072","16/02/2547","698002","02","002","00","877","309","798","072"
"01/02/25472168222282277361242769765","01/02/2547","216822","22","822","77","361","242","769","765"
"16/01/25477313424234296025357926391","16/01/2547","731342","42","342","96","025","357","926","391"
"30/12/25467394474744764654435743216","30/12/2546","739447","47","447","64","654","435","743","216"
"16/12/25461779474794787676847735571","16/12/2546","177947","47","947","87","676","847","735","571"
"01/12/25469913070730778945719559217","01/12/2546","991307","07","307","78","945","719","559","217"
"16/11/25462385111151168155767594474","16/11/2546","238511","11","511","68","155","767","594","474"
"01/11/25469414383843847866156216264","01/11/2546","941438","38","438","47","866","156","216","264"
"16/10/25463055000050003109012084470","16/10/2546","305500","00","500","03","109","012","084","470"
"01/10/25469120404004043407100379563","01/10/2546","912040","40","040","43","407","100","379","563"
"16/09/25466005898958953909356996494","16/09/2546","600589","89","589","53","909","356","996","494"
"01/09/25461878131381392661918793249","01/09/2546","187813","13","813","92","661","918","793","249"
"16/08/25463547717177100496271206624","16/08/2546","354771","71","771","00","496","271","206","624"
"01/08/25467660989809891733856007460","01/08/2546","766098","98","098","91","733","856","007","460"
"16/07/25466795454554575049589281363","16/07/2546","679545","45","545","75","049","589","281","363"
"01/07/25464614141441491151878395282","01/07/2546","461414","14","414","91","151","878","395","282"
"16/06/25463898727287229605995922006","16/06/2546","389872","72","872","29","605","995","922","006"
"01/06/25467660666606636083523354686","01/06/2546","766066","66","066","36","083","523","354","686"
"16/05/25465527848478420608048699362","16/05/2546","552784","84","784","20","608","048","699","362"
"02/05/25461356030360312498870386522","02/05/2546","135603","03","603","12","498","870","386","522"
"16/04/25468925252552521933906796823","16/04/2546","892525","25","525","21","933","906","796","823"
"01/04/25469331646416486467863732902","01/04/2546","933164","64","164","86","467","863","732","902"
"16/03/25466530626206264820208702038","16/03/2546","653062","62","062","64","820","208","702","038"
"01/03/25464410222202242322026707628","01/03/2546","441022","22","022","42","322","026","707","628"
"17/02/25464555787857861805496980857","17/02/2546","455578","78","578","61","805","496","980","857"
"01/02/25464563707037094661429806229","01/02/2546","456370","70","370","94","661","429","806","229"
"16/01/25469770858508506441535519262","16/01/2546","977085","85","085","06","441","535","519","262"
"30/12/25458951969619695191116689609","30/12/2545","895196","96","196","95","191","116","689","609"
"16/12/25450196828268267616312075849","16/12/2545","019682","82","682","67","616","312","075","849"
"01/12/25459684222242237298088337809","01/12/2545","968422","22","422","37","298","088","337","809"
"16/11/25459153444434455191843789906","16/11/2545","915344","44","344","55","191","843","789","906"
"01/11/25455054989849825341297747383","01/11/2545","505498","98","498","25","341","297","747","383"
"16/10/25454286414164151150401244177","16/10/2545","428641","41","641","51","150","401","244","177"
"01/10/25458025050550572864567358189","01/10/2545","802505","05","505","72","864","567","358","189"
"16/09/25451560505005085056889823169","16/09/2545","156050","50","050","85","056","889","823","169"
"01/09/25459942000020051126799046395","01/09/2545","994200","00","200","51","126","799","046","395"
"16/08/25451201080810857705173953147","16/08/2545","120108","08","108","57","705","173","953","147"
"01/08/25454934383843888269645544529","01/08/2545","493438","38","438","88","269","645","544","529"
"16/07/25453402646426469304632539034","16/07/2545","340264","64","264","69","304","632","539","034"
"01/07/25454814474744724195517763802","01/07/2545","481447","47","447","24","195","517","763","802"
"16/06/25450732616126107472156662845","16/06/2545","073261","61","261","07","472","156","662","845"
"01/06/25451611494914902879643328485","01/06/2545","161149","49","149","02","879","643","328","485"
"16/05/25455987141471476765725394508","16/05/2545","598714","14","714","76","765","725","394","508"
"02/05/25455906646466456764739695503","02/05/2545","590664","64","664","56","764","739","695","503"
"16/04/25455226303063037586949997085","16/04/2545","522630","30","630","37","586","949","997","085"
"01/04/25459905434354357971430225456","01/04/2545","990543","43","543","57","971","430","225","456"
"16/03/25456591525215204370066707943","16/03/2545","659152","52","152","04","370","066","707","943"
"01/03/25458055909059055748715434856","01/03/2545","805590","90","590","55","748","715","434","856"
"16/02/25453308535385392167820088769","16/02/2545","330853","53","853","92","167","820","088","769"
"01/02/25456332707027040956414621859","01/02/2545","633270","70","270","40","956","414","621","859"
"16/01/25457096707067014895116434109","16/01/2545","709670","70","670","14","895","116","434","109"
"30/12/25447293676736764873974611107","30/12/2544","729367","67","367","64","873","974","611","107"
"16/12/25442246757567519887538363902","16/12/2544","224675","75","675","19","887","538","363","902"
"01/12/25447370222202249713461773925","01/12/2544","737022","22","022","49","713","461","773","925"
"16/11/25446857060670674339976600275","16/11/2544","685706","06","706","74","339","976","600","275"
"01/11/25446834727247252392081694431","01/11/2544","683472","72","472","52","392","081","694","431"
"16/10/25449750050500548070626110670","16/10/2544","975005","05","005","48","070","626","110","670"
"01/10/25441041545415415827303287058","01/10/2544","104154","54","154","15","827","303","287","058"
"16/09/25446164262642682995806291089","16/09/2544","616426","26","426","82","995","806","291","089"
"01/09/25441190676706714145294218532","01/09/2544","119067","67","067","14","145","294","218","532"
"16/08/25446901353513510217717900588","16/08/2544","690135","35","135","10","217","717","900","588"
"01/08/25441805979759711602086864848","01/08/2544","180597","97","597","11","602","086","864","848"
"16/07/25448207151571550250171282767","16/07/2544","820715","15","715","50","250","171","282","767"
"01/07/25441079878798734364296985546","01/07/2544","107987","87","987","34","364","296","985","546"
"16/06/25447623949439475550395606922","16/06/2544","762394","94","394","75","550","395","606","922"
"01/06/25441133111131180490983310920","01/06/2544","113311","11","311","80","490","983","310","920"
"16/05/25440919828298261437507055080","16/05/2544","091982","82","982","61","437","507","055","080"
"02/05/25442050959509564980543294099","02/05/2544","205095","95","095","64","980","543","294","099"
"16/04/25441408434384328031952800378","16/04/2544","140843","43","843","28","031","952","800","378"
"01/04/25446409989899849600061407877","01/04/2544","640998","98","998","49","600","061","407","877"
"16/03/25446336161661645400773903350","16/03/2544","633616","16","616","45","400","773","903","350"
"01/03/25448365373753785356147292380","01/03/2544","836537","37","537","85","356","147","292","380"
"16/02/25446212676726747155275673305","16/02/2544","621267","67","267","47","155","275","673","305"
"01/02/25444547030370313089437245063","01/02/2544","454703","03","703","13","089","437","245","063"
"16/01/25447370161601636358515778035","16/01/2544","737016","16","016","36","358","515","778","035"
"30/12/25431194515145131600763985357","30/12/2543","119451","51","451","31","600","763","985","357"
"16/12/25439696767667691555267313605","16/12/2543","969676","76","676","91","555","267","313","605"
"01/12/25438879565695656454664170933","01/12/2543","887956","56","956","56","454","664","170","933"
"16/11/25435653111131110494381044304","16/11/2543","565311","11","311","10","494","381","044","304"
"01/11/25430931828218290046606818407","01/11/2543","093182","82","182","90","046","606","818","407"
"16/10/25436206626266239276607133372","16/10/2543","620662","62","662","39","276","607","133","372"
"01/10/25432905828258226690436618070","01/10/2543","290582","82","582","26","690","436","618","070"
"16/09/25430462515125105933806860230","16/09/2543","046251","51","251","05","933","806","860","230"
"01/09/25434373676736752952290365474","01/09/2543","437367","67","367","52","952","290","365","474"
"16/08/25434590131301357087378155120","16/08/2543","459013","13","013","57","087","378","155","120"
"01/08/25432675404054018881930665463","01/08/2543","267540","40","540","18","881","930","665","463"
"16/07/25439313424234243397237739656","16/07/2543","931342","42","342","43","397","237","739","656"
"01/07/25436740717107129946761689190","01/07/2543","674071","71","071","29","946","761","689","190"
"16/06/25438256969669657592832311771","16/06/2543","825696","96","696","57","592","832","311","771"
"01/06/25435927616176116716705981810","01/06/2543","592761","61","761","16","716","705","981","810"
"16/05/25430093151531556226035929174","16/05/2543","009315","15","315","56","226","035","929","174"
"02/05/25430707151571520422287979740","02/05/2543","070715","15","715","20","422","287","979","740"
"16/04/25438367777777763950273131362","16/04/2543","836777","77","777","63","950","273","131","362"
"01/04/25439639484894899477535511018","01/04/2543","963948","48","948","99","477","535","511","018"
"16/03/25431643111131165009460071326","16/03/2543","164311","11","311","65","009","460","071","326"
"01/03/25439978333383363817250627416","01/03/2543","997833","33","833","63","817","250","627","416"
"16/02/25437298161681691631916618181","16/02/2543","729816","16","816","91","631","916","618","181"
"01/02/25435302131321385109926094597","01/02/2543","530213","13","213","85","109","926","094","597"
"16/01/25434421838318382540950269847","16/01/2543","442183","83","183","82","540","950","269","847"
"30/12/25420511080810803061263540301","30/12/2542","051108","08","108","03","061","263","540","301"
"16/12/25421398535385330131688143656","16/12/2542","139853","53","853","30","131","688","143","656"
"01/12/25426692818128179952896999999","01/12/2542","669281","81","281","79","952","896","999","999"
"16/11/25427643545435414978723324293","16/11/2542","764354","54","354","14","978","723","324","293"
"01/11/25425613353533503655882570141","01/11/2542","561335","35","335","03","655","882","570","141"
"16/10/25424102272722728468304750467","16/10/2542","410227","27","227","28","468","304","750","467"
"01/10/25428306767667680287215167234","01/10/2542","830676","76","676","80","287","215","167","234"
"16/09/25428075060650646593268283734","16/09/2542","807506","06","506","46","593","268","283","734"
"01/09/25425913444434433261237275861","01/09/2542","591344","44","344","33","261","237","275","861"
"16/08/25423409989899865696333371111","16/08/2542","340998","98","998","65","696","333","371","111"
"01/08/25420568606086098688064303994","01/08/2542","056860","60","860","98","688","064","303","994"
"16/07/25420704161641603138349343004","16/07/2542","070416","16","416","03","138","349","343","004"
"01/07/25423864414144167152987001211","01/07/2542","386441","41","441","67","152","987","001","211"
"16/06/25422787949479463917422859742","16/06/2542","278794","94","794","63","917","422","859","742"
"01/06/25420776262662608606177951340","01/06/2542","077626","26","626","08","606","177","951","340"
"16/05/25426188181881816843074884870","16/05/2542","618818","18","818","16","843","074","884","870"
"02/05/25426914838348345686003715184","02/05/2542","691483","83","483","45","686","003","715","184"
"16/04/25426250949409435394432067859","16/04/2542","625094","94","094","35","394","432","067","859"
"01/04/25424799575795792713471858670","01/04/2542","479957","57","957","92","713","471","858","670"
"16/03/25425772787827863089418606415","16/03/2542","577278","78","278","63","089","418","606","415"
"02/03/25426602141421458645612927479","02/03/2542","660214","14","214","58","645","612","927","479"
"16/02/25423072131321341456091404782","16/02/2542","307213","13","213","41","456","091","404","782"
"01/02/25423428606086069361048735752","01/02/2542","342860","60","860","69","361","048","735","752"
"16/01/25421906111161113186543854976","16/01/2542","190611","11","611","13","186","543","854","976"
"30/12/25414641474714750778094924983","30/12/2541","464147","47","147","50","778","094","924","983"
"16/12/25411818131381355306175498560","16/12/2541","181813","13","813","55","306","175","498","560"
"01/12/25418365696956958115075944200","01/12/2541","836569","69","569","58","115","075","944","200"
"16/11/25412707444474420480763785794","16/11/2541","270744","44","744","20","480","763","785","794"
"01/11/25419208464684629081316044289","01/11/2541","920846","46","846","29","081","316","044","289"
"16/10/25412610808008074461935755695","16/10/2541","261080","80","080","74","461","935","755","695"
"01/10/25419878444484418806286728470","01/10/2541","987844","44","844","18","806","286","728","470"
"16/09/25410657202072065782584401311","16/09/2541","065720","20","720","65","782","584","401","311"
"01/09/25418727959579596316042551060","01/09/2541","872795","95","795","96","316","042","551","060"
"16/08/25410817848478491724464644677","16/08/2541","081784","84","784","91","724","464","644","677"
"01/08/25417484939349322015001771862","01/08/2541","748493","93","493","22","015","001","771","862"
"16/07/25415999919199152012401904935","16/07/2541","599991","91","991","52","012","401","904","935"
"01/07/25415951232312365076101606314","01/07/2541","595123","23","123","65","076","101","606","314"
"16/06/25418580767607619235316219533","16/06/2541","858076","76","076","19","235","316","219","533"
"01/06/25418200888808867014649781530","01/06/2541","820088","88","088","67","014","649","781","530"
"16/05/25418400434304363984258981950","16/05/2541","840043","43","043","63","984","258","981","950"
"02/05/25416638070780772802946143325","02/05/2541","663807","07","807","72","802","946","143","325"
"16/04/25411465737357317202153705664","16/04/2541","146573","73","573","17","202","153","705","664"
"01/04/25414969303093066454563882786","01/04/2541","496930","30","930","66","454","563","882","786"
"16/03/25415727010170179260852943506","16/03/2541","572701","01","701","79","260","852","943","506"
"01/03/25412368646486474867285127562","01/03/2541","236864","64","864","74","867","285","127","562"
"16/02/25416128979789769460234356213","16/02/2541","612897","97","897","69","460","234","356","213"
"01/02/25416659595995948381685788941","01/02/2541","665959","59","959","48","381","685","788","941"
"16/01/25419471959519534425185833792","16/01/2541","947195","95","195","34","425","185","833","792"
"30/12/25406757040470465044327977788","30/12/2540","675704","04","704","65","044","327","977","788"
"16/12/25402942404024071975762142408","16/12/2540","294240","40","240","71","975","762","142","408"
"01/12/25402415595955986392982677168","01/12/2540","241559","59","559","86","392","982","677","168"
"16/11/25408754626246299539573730038","16/11/2540","875462","62","462","99","539","573","730","038"
"01/11/25409742010120139830877283064","01/11/2540","974201","01","201","39","830","877","283","064"
"16/10/25404051242412498280356459125","16/10/2540","405124","24","124","98","280","356","459","125"
"01/10/25404444131341324808689746698","01/10/2540","444413","13","413","24","808","689","746","698"
"16/09/25405275141451498251335687935","16/09/2540","527514","14","514","98","251","335","687","935"
"01/09/25400835373753759132319658716","01/09/2540","083537","37","537","59","132","319","658","716"
"16/08/25401569676796730235957596569","16/08/2540","156967","67","967","30","235","957","596","569"
"01/08/25400542727227231797145414440","01/08/2540","054272","72","272","31","797","145","414","440"
"16/07/25405096919169167982623750944","16/07/2540","509691","91","691","67","982","623","750","944"
"01/07/25406765737357311909620412092","01/07/2540","676573","73","573","11","909","620","412","092"
"16/06/25405371464614661635769982504","16/06/2540","537146","46","146","61","635","769","982","504"
"01/06/25406439979799724507918784060","01/06/2540","643997","97","997","24","507","918","784","060"
"16/05/25400880676706752510621896769","16/05/2540","088067","67","067","52","510","621","896","769"
"02/05/25403884373743738025656056728","02/05/2540","388437","37","437","38","025","656","056","728"
"16/04/25405514505045092654165279085","16/04/2540","551450","50","450","92","654","165","279","085"
"01/04/25406176292962952426162880015","01/04/2540","617629","29","629","52","426","162","880","015"
"16/03/25401004747447436444822705214","16/03/2540","100474","74","474","36","444","822","705","214"
"01/03/25409767797977998148414791364","01/03/2540","976779","79","779","98","148","414","791","364"
"16/02/25404998848488494716247533315","16/02/2540","499884","84","884","94","716","247","533","315"
"01/02/25407507929279257402771703079","01/02/2540","750792","92","792","57","402","771","703","079"
"16/01/25401519959599547612257020381","16/01/2540","151995","95","995","47","612","257","020","381"
"30/12/25398794545445426879314158584","30/12/2539","879454","54","454","26","879","314","158","584"
"16/12/25395938565685644381755608438","16/12/2539","593856","56","856","44","381","755","608","438"
"01/12/25391795282852866822365920566","01/12/2539","179528","28","528","66","822","365","920","566"
"16/11/25399510888808821168349580577","16/11/2539","951088","88","088","21","168","349","580","577"
"01/11/25395126949469424290432255964","01/11/2539","512694","94","694","24","290","432","255","964"
"16/10/25391980191901918082270865824","16/10/2539","198019","19","019","18","082","270","865","824"
"01/10/25399477888878897089166544484","01/10/2539","947788","88","788","97","089","166","544","484"
"16/09/25398143686836859889818976400","16/09/2539","814368","68","368","59","889","818","976","400"
"01/09/25394701363613602392666927501","01/09/2539","470136","36","136","02","392","666","927","501"
"16/08/25393527686876819389932609875","16/08/2539","352768","68","768","19","389","932","609","875"
"01/08/25391510919109161646650833669","01/08/2539","151091","91","091","61","646","650","833","669"
"16/07/25393326878768791771547281010","16/07/2539","332687","87","687","91","771","547","281","010"
"01/07/25396253797937976666298094543","01/07/2539","625379","79","379","76","666","298","094","543"
"16/06/25393183111131121649118735916","16/06/2539","318311","11","311","21","649","118","735","916"
"01/06/25398696565665681422126961584","01/06/2539","869656","56","656","81","422","126","961","584"
"17/05/25399781404014075321443718523","17/05/2539","978140","40","140","75","321","443","718","523"
"02/05/25392473515135154175234661978","02/05/2539","247351","51","351","54","175","234","661","978"
"16/04/25390495848458477435222155052","16/04/2539","049584","84","584","77","435","222","155","052"
